Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Namibia,Household,Online,M,9/4/2017,638531672,9/20/2017,4566,668.27,502.54,3051320.82,2294597.64,756723.18
Sub-Saharan Africa,Malawi,Beverages,Online,M,5/21/2012,493203580,6/2/2012,8754,47.45,31.79,415377.30,278289.66,137087.64
Europe,Slovakia,Vegetables,Offline,L,11/20/2019,956916320,12/7/2019,1659,154.06,90.93,255585.54,150852.87,104732.67
Europe,Italy,Snacks,Online,C,3/6/2012,550031220,3/8/2012,5316,152.58,97.44,811115.28,517991.04,293124.24
Europe,Italy,Personal Care,Offline,C,11/18/2010,563222110,12/16/2010,8793,81.73,56.67,718651.89,498299.31,220352.58
Europe,Albania,Personal Care,Offline,H,9/26/2017,107475316,10/12/2017,3189,81.73,56.67,260636.97,180720.63,79916.34
Middle East and North Africa,Libya,Personal Care,Online,M,12/11/2019,164089667,1/9/2020,6634,81.73,56.67,542196.82,375948.78,166248.04
Middle East and North Africa,Turkey,Meat,Offline,H,11/25/2016,434676492,1/6/2017,9288,421.89,364.69,3918514.32,3387240.72,531273.60
Sub-Saharan Africa,Sierra Leone,Cereal,Online,M,11/12/2014,691159617,11/29/2014,8345,205.70,117.11,1716566.50,977282.95,739283.55
Europe,Kosovo,Snacks,Offline,C,11/21/2010,325775372,12/22/2010,3027,152.58,97.44,461859.66,294950.88,166908.78
Central America and the Caribbean,Antigua and Barbuda ,Personal Care,Offline,L,8/2/2019,601072585,9/20/2019,9590,81.73,56.67,783790.70,543465.30,240325.40
Australia and Oceania,Solomon Islands,Meat,Online,H,4/12/2014,599912583,5/30/2014,6320,421.89,364.69,2666344.80,2304840.80,361504.00
Sub-Saharan Africa,Burundi,Vegetables,Online,L,12/7/2017,375469195,1/20/2018,8534,154.06,90.93,1314748.04,775996.62,538751.42
Central America and the Caribbean,Belize,Cereal,Online,C,3/27/2012,501228749,4/12/2012,3580,205.70,117.11,736406.00,419253.80,317152.20
Australia and Oceania,Kiribati,Vegetables,Online,C,10/22/2017,720990073,11/25/2017,5840,154.06,90.93,899710.40,531031.20,368679.20
Australia and Oceania,Palau,Cereal,Offline,C,12/29/2013,398864495,1/24/2014,1723,205.70,117.11,354421.10,201780.53,152640.57
Middle East and North Africa,Saudi Arabia,Meat,Online,L,1/30/2019,769275844,2/13/2019,4672,421.89,364.69,1971070.08,1703831.68,267238.40
Middle East and North Africa,Morocco,Meat,Online,H,1/27/2010,886960446,2/25/2010,161,421.89,364.69,67924.29,58715.09,9209.20
Sub-Saharan Africa,The Gambia,Fruits,Offline,C,8/11/2013,776967132,9/22/2013,695,9.33,6.92,6484.35,4809.40,1674.95
Central America and the Caribbean,Honduras,Vegetables,Online,H,1/19/2015,984657227,2/25/2015,810,154.06,90.93,124788.60,73653.30,51135.30
Australia and Oceania,Fiji,Snacks,Online,M,4/22/2017,325704562,5/29/2017,2073,152.58,97.44,316298.34,201993.12,114305.22
Sub-Saharan Africa,Djibouti,Fruits,Offline,L,2/5/2014,836095464,3/3/2014,8082,9.33,6.92,75405.06,55927.44,19477.62
Europe,Monaco,Office Supplies,Offline,C,9/6/2016,122128760,10/7/2016,9469,651.21,524.96,6166307.49,4970846.24,1195461.25
Europe,France,Household,Offline,H,6/11/2016,810415780,7/17/2016,8893,668.27,502.54,5942925.11,4469088.22,1473836.89
Middle East and North Africa,Iraq,Personal Care,Online,H,8/12/2011,197880351,8/30/2011,6048,81.73,56.67,494303.04,342740.16,151562.88
Europe,Vatican City,Personal Care,Offline,M,8/11/2012,601758801,8/28/2012,2657,81.73,56.67,217156.61,150572.19,66584.42
Europe,Germany,Cereal,Offline,L,5/2/2015,809599959,5/10/2015,7474,205.70,117.11,1537401.80,875280.14,662121.66
Central America and the Caribbean,The Bahamas,Cereal,Online,C,3/4/2017,129265153,4/6/2017,1286,205.70,117.11,264530.20,150603.46,113926.74
Europe,Italy,Baby Food,Offline,L,9/6/2011,638928210,9/25/2011,1911,255.28,159.42,487840.08,304651.62,183188.46
Asia,Bangladesh,Clothes,Online,H,4/21/2015,437075459,4/29/2015,9196,109.28,35.84,1004938.88,329584.64,675354.24
Australia and Oceania,Federated States of Micronesia,Meat,Offline,M,4/1/2019,392505729,5/4/2019,22,421.89,364.69,9281.58,8023.18,1258.40
Central America and the Caribbean,Trinidad and Tobago,Baby Food,Offline,L,3/25/2016,994330346,4/28/2016,3300,255.28,159.42,842424.00,526086.00,316338.00
Australia and Oceania,New Zealand,Fruits,Online,M,7/7/2016,101973140,8/21/2016,4973,9.33,6.92,46398.09,34413.16,11984.93
Central America and the Caribbean,Belize,Beverages,Online,L,6/24/2010,595170438,7/3/2010,3013,47.45,31.79,142966.85,95783.27,47183.58
Central America and the Caribbean,Grenada,Snacks,Offline,C,9/24/2016,923971068,10/5/2016,2427,152.58,97.44,370311.66,236486.88,133824.78
Asia,Kazakhstan,Meat,Online,H,8/14/2012,958736360,10/1/2012,249,421.89,364.69,105050.61,90807.81,14242.80
Europe,Belgium,Meat,Offline,C,6/2/2014,640140140,6/5/2014,547,421.89,364.69,230773.83,199485.43,31288.40
Central America and the Caribbean,Panama,Vegetables,Online,H,7/10/2018,429168736,8/5/2018,9421,154.06,90.93,1451399.26,856651.53,594747.73
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Offline,L,6/23/2017,857120978,6/25/2017,9999,154.06,90.93,1540445.94,909209.07,631236.87
Asia,Uzbekistan,Snacks,Offline,M,1/11/2016,275608193,2/12/2016,7444,152.58,97.44,1135805.52,725343.36,410462.16
Sub-Saharan Africa,Mauritania,Cereal,Offline,M,1/31/2015,706554210,2/3/2015,3947,205.70,117.11,811897.90,462233.17,349664.73
Central America and the Caribbean,Grenada,Cosmetics,Offline,H,1/16/2017,192195355,2/2/2017,3732,437.20,263.33,1631630.40,982747.56,648882.84
Sub-Saharan Africa,Djibouti,Fruits,Online,H,6/24/2020,445080459,7/7/2020,8053,9.33,6.92,75134.49,55726.76,19407.73
Europe,Denmark,Fruits,Online,L,10/5/2014,998070847,11/19/2014,198,9.33,6.92,1847.34,1370.16,477.18
Sub-Saharan Africa,Zambia,Cosmetics,Online,C,7/3/2017,554340350,7/4/2017,483,437.20,263.33,211167.60,127188.39,83979.21
Sub-Saharan Africa,South Sudan,Clothes,Online,L,9/27/2015,137375295,11/6/2015,1257,109.28,35.84,137364.96,45050.88,92314.08
Asia,China,Clothes,Offline,C,1/17/2014,840974509,1/18/2014,1900,109.28,35.84,207632.00,68096.00,139536.00
Asia,Japan,Beverages,Online,L,7/5/2018,679249322,8/17/2018,3824,47.45,31.79,181448.80,121564.96,59883.84
Australia and Oceania,Vanuatu,Beverages,Online,M,9/4/2020,436623561,9/11/2020,5469,47.45,31.79,259504.05,173859.51,85644.54
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,M,8/6/2013,517833554,8/9/2013,7311,437.20,263.33,3196369.20,1925205.63,1271163.57
Asia,Bhutan,Cosmetics,Online,L,7/23/2018,497928130,8/18/2018,6854,437.20,263.33,2996568.80,1804863.82,1191704.98
Sub-Saharan Africa,Angola,Cosmetics,Offline,C,7/30/2015,472268617,9/3/2015,3633,437.20,263.33,1588347.60,956677.89,631669.71
Europe,San Marino,Household,Offline,H,11/28/2012,606528842,12/26/2012,4218,668.27,502.54,2818762.86,2119713.72,699049.14
Australia and Oceania,Solomon Islands,Household,Online,C,4/25/2020,686695134,5/9/2020,7205,668.27,502.54,4814885.35,3620800.70,1194084.65
Asia,Myanmar,Meat,Offline,L,8/18/2011,569066321,10/2/2011,8225,421.89,364.69,3470045.25,2999575.25,470470.00
Central America and the Caribbean,Haiti,Cereal,Offline,C,8/28/2015,630253732,9/26/2015,4940,205.70,117.11,1016158.00,578523.40,437634.60
