Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,M,6/17/2017,872509562,8/4/2017,3823,205.70,117.11,786391.10,447711.53,338679.57
Central America and the Caribbean,Saint Lucia,Vegetables,Online,M,9/26/2018,756514966,10/3/2018,8445,154.06,90.93,1301036.70,767903.85,533132.85
Central America and the Caribbean,Costa Rica,Personal Care,Offline,L,3/25/2019,177295577,3/30/2019,4556,81.73,56.67,372361.88,258188.52,114173.36
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,M,12/26/2010,692712724,12/31/2010,7943,651.21,524.96,5172561.03,4169757.28,1002803.75
Europe,Finland,Clothes,Offline,L,4/17/2014,330940234,4/28/2014,1424,109.28,35.84,155614.72,51036.16,104578.56
Central America and the Caribbean,Grenada,Beverages,Offline,M,11/10/2018,340464437,12/21/2018,9847,47.45,31.79,467240.15,313036.13,154204.02
Sub-Saharan Africa,Chad,Personal Care,Offline,L,7/20/2010,240084159,9/8/2010,5093,81.73,56.67,416250.89,288620.31,127630.58
Central America and the Caribbean,Dominica,Cosmetics,Online,L,7/5/2019,968910729,7/9/2019,1071,437.20,263.33,468241.20,282026.43,186214.77
Central America and the Caribbean,Cuba,Baby Food,Offline,M,7/25/2018,836367976,8/7/2018,8725,255.28,159.42,2227318.00,1390939.50,836378.50
Sub-Saharan Africa,Togo,Fruits,Online,C,2/20/2014,472192227,4/7/2014,1028,9.33,6.92,9591.24,7113.76,2477.48
Middle East and North Africa,Afghanistan,Vegetables,Online,C,7/2/2019,576432311,7/12/2019,7985,154.06,90.93,1230169.10,726076.05,504093.05
Sub-Saharan Africa,Namibia,Cosmetics,Offline,H,5/3/2017,569449555,6/1/2017,1633,437.20,263.33,713947.60,430017.89,283929.71
Sub-Saharan Africa,Niger,Baby Food,Offline,H,7/30/2018,841917788,8/10/2018,1038,255.28,159.42,264980.64,165477.96,99502.68
Australia and Oceania,Marshall Islands,Personal Care,Offline,H,4/8/2014,504823338,5/8/2014,7299,81.73,56.67,596547.27,413634.33,182912.94
Europe,Croatia,Baby Food,Online,M,12/30/2012,539465034,2/15/2013,8546,255.28,159.42,2181622.88,1362403.32,819219.56
Asia,China,Snacks,Offline,L,3/2/2014,647454202,4/7/2014,4941,152.58,97.44,753897.78,481451.04,272446.74
Europe,Ukraine,Cereal,Online,H,4/30/2013,600714671,5/12/2013,3675,205.70,117.11,755947.50,430379.25,325568.25
Asia,Uzbekistan,Cosmetics,Online,H,3/30/2018,691482770,3/30/2018,3973,437.20,263.33,1736995.60,1046210.09,690785.51
Central America and the Caribbean,Haiti,Clothes,Online,H,6/5/2011,382307326,6/20/2011,2088,109.28,35.84,228176.64,74833.92,153342.72
Central America and the Caribbean,Costa Rica,Vegetables,Offline,M,9/8/2019,556049668,10/13/2019,6308,154.06,90.93,971810.48,573586.44,398224.04
Asia,India,Office Supplies,Online,M,7/6/2012,365883624,7/31/2012,1950,651.21,524.96,1269859.50,1023672.00,246187.50
Sub-Saharan Africa,Swaziland,Cereal,Offline,L,5/14/2014,385295522,5/29/2014,6362,205.70,117.11,1308663.40,745053.82,563609.58
Europe,Netherlands,Beverages,Offline,M,10/14/2013,358084189,11/7/2013,3924,47.45,31.79,186193.80,124743.96,61449.84
Sub-Saharan Africa,Sudan,Snacks,Online,H,7/5/2011,548360955,8/5/2011,1047,152.58,97.44,159751.26,102019.68,57731.58
Sub-Saharan Africa,Kenya,Cosmetics,Online,C,2/14/2015,390549647,2/20/2015,1174,437.20,263.33,513272.80,309149.42,204123.38
Central America and the Caribbean,Guatemala,Clothes,Offline,L,4/30/2012,739386594,6/2/2012,9779,109.28,35.84,1068649.12,350479.36,718169.76
Middle East and North Africa,Oman,Household,Online,L,1/26/2019,719920623,2/26/2019,9365,668.27,502.54,6258348.55,4706287.10,1552061.45
Europe,Greece,Personal Care,Online,H,1/7/2010,877513062,2/10/2010,4470,81.73,56.67,365333.10,253314.90,112018.20
Middle East and North Africa,Iraq,Personal Care,Online,C,2/28/2020,927837741,3/14/2020,6661,81.73,56.67,544403.53,377478.87,166924.66
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,L,2/17/2011,206880986,2/28/2011,9536,437.20,263.33,4169139.20,2511114.88,1658024.32
Europe,Finland,Cosmetics,Online,M,8/3/2015,820941627,9/16/2015,3725,437.20,263.33,1628570.00,980904.25,647665.75
Europe,Macedonia,Snacks,Online,M,3/18/2014,896630990,3/19/2014,1890,152.58,97.44,288376.20,184161.60,104214.60
Central America and the Caribbean,Nicaragua,Baby Food,Offline,M,12/4/2015,430872905,12/13/2015,3722,255.28,159.42,950152.16,593361.24,356790.92
Central America and the Caribbean,Barbados,Clothes,Online,M,6/18/2020,840903699,6/24/2020,946,109.28,35.84,103378.88,33904.64,69474.24
Middle East and North Africa,Oman,Household,Online,L,1/9/2013,914272201,1/29/2013,2316,668.27,502.54,1547713.32,1163882.64,383830.68
Europe,Norway,Snacks,Offline,H,5/22/2012,858839738,7/2/2012,8619,152.58,97.44,1315087.02,839835.36,475251.66
North America,Canada,Meat,Online,C,2/10/2012,952780139,3/27/2012,7671,421.89,364.69,3236318.19,2797536.99,438781.20
Central America and the Caribbean,Honduras,Household,Online,C,12/7/2017,194579732,1/5/2018,9322,668.27,502.54,6229612.94,4684677.88,1544935.06
Middle East and North Africa,Tunisia ,Office Supplies,Offline,H,5/19/2010,353037345,6/7/2010,450,651.21,524.96,293044.50,236232.00,56812.50
Sub-Saharan Africa,South Africa,Household,Offline,C,3/31/2014,117264306,4/9/2014,9969,668.27,502.54,6661983.63,5009821.26,1652162.37
Europe,Belgium,Vegetables,Online,H,5/29/2018,946684443,7/1/2018,3819,154.06,90.93,588355.14,347261.67,241093.47
Middle East and North Africa,United Arab Emirates,Baby Food,Offline,H,3/27/2013,321034085,4/30/2013,9975,255.28,159.42,2546418.00,1590214.50,956203.50
Sub-Saharan Africa,Senegal,Household,Online,H,5/7/2017,290362060,6/23/2017,3441,668.27,502.54,2299517.07,1729240.14,570276.93
Asia,Mongolia,Household,Offline,H,10/13/2018,725029695,10/29/2018,1253,668.27,502.54,837342.31,629682.62,207659.69
Europe,Estonia,Household,Online,C,6/4/2012,665710818,7/3/2012,7480,668.27,502.54,4998659.60,3758999.20,1239660.40
Sub-Saharan Africa,Togo,Cosmetics,Offline,H,1/22/2016,573391759,2/22/2016,8218,437.20,263.33,3592909.60,2164045.94,1428863.66
Europe,Moldova ,Meat,Offline,L,7/14/2011,979371345,7/25/2011,6600,421.89,364.69,2784474.00,2406954.00,377520.00
Europe,Spain,Beverages,Online,L,4/18/2014,235260903,5/6/2014,7784,47.45,31.79,369350.80,247453.36,121897.44
Asia,South Korea,Snacks,Offline,C,7/20/2014,362984263,8/29/2014,3965,152.58,97.44,604979.70,386349.60,218630.10
Australia and Oceania,Kiribati,Fruits,Offline,H,9/15/2014,304777753,10/13/2014,9365,9.33,6.92,87375.45,64805.80,22569.65
Europe,Italy,Fruits,Online,L,4/29/2013,873190200,5/20/2013,5239,9.33,6.92,48879.87,36253.88,12625.99
Europe,United Kingdom,Snacks,Online,L,6/24/2010,701082932,7/17/2010,4874,152.58,97.44,743674.92,474922.56,268752.36
Sub-Saharan Africa,Sao Tome and Principe,Baby Food,Offline,L,1/31/2013,291629779,2/25/2013,8587,255.28,159.42,2192089.36,1368939.54,823149.82
Sub-Saharan Africa,Liberia,Meat,Offline,H,11/14/2018,668317067,12/15/2018,8727,421.89,364.69,3681834.03,3182649.63,499184.40
Asia,Thailand,Cosmetics,Online,H,1/10/2011,224943625,2/13/2011,4672,437.20,263.33,2042598.40,1230277.76,812320.64
North America,United States of America,Meat,Online,C,1/10/2017,575620782,2/19/2017,7836,421.89,364.69,3305930.04,2857710.84,448219.20
Asia,Uzbekistan,Office Supplies,Online,C,9/20/2017,704772365,11/2/2017,6659,651.21,524.96,4336407.39,3495708.64,840698.75
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,C,11/8/2016,117134702,12/28/2016,1616,437.20,263.33,706515.20,425541.28,280973.92
Asia,South Korea,Vegetables,Offline,M,4/30/2014,187756621,5/7/2014,211,154.06,90.93,32506.66,19186.23,13320.43
Asia,Bangladesh,Cosmetics,Online,C,7/19/2011,111999452,8/13/2011,1981,437.20,263.33,866093.20,521656.73,344436.47
Europe,Croatia,Cosmetics,Offline,L,10/5/2016,955537021,11/24/2016,3493,437.20,263.33,1527139.60,919811.69,607327.91
North America,Greenland,Office Supplies,Online,C,5/9/2018,704355657,6/19/2018,3346,651.21,524.96,2178948.66,1756516.16,422432.50
Central America and the Caribbean,Dominica,Cereal,Online,H,7/14/2011,114754188,9/2/2011,7169,205.70,117.11,1474663.30,839561.59,635101.71
Europe,Albania,Cereal,Online,H,6/3/2014,463343942,7/10/2014,2624,205.70,117.11,539756.80,307296.64,232460.16
Sub-Saharan Africa,Madagascar,Household,Online,H,11/26/2019,397048747,11/29/2019,4402,668.27,502.54,2941724.54,2212181.08,729543.46
Middle East and North Africa,Tunisia ,Meat,Offline,L,8/31/2011,883104932,9/13/2011,9229,421.89,364.69,3893622.81,3365724.01,527898.80
Asia,Tajikistan,Personal Care,Offline,M,5/1/2012,259061324,5/19/2012,858,81.73,56.67,70124.34,48622.86,21501.48
Sub-Saharan Africa,Kenya,Meat,Offline,H,12/16/2013,982779252,1/18/2014,5075,421.89,364.69,2141091.75,1850801.75,290290.00
Australia and Oceania,Tonga,Baby Food,Offline,H,6/10/2015,182432544,6/22/2015,4699,255.28,159.42,1199560.72,749114.58,450446.14
Europe,Liechtenstein,Household,Online,L,3/5/2017,906507527,3/28/2017,4577,668.27,502.54,3058671.79,2300125.58,758546.21
Asia,Laos,Baby Food,Offline,L,9/22/2015,873803031,10/12/2015,6590,255.28,159.42,1682295.20,1050577.80,631717.40
Australia and Oceania,Australia,Meat,Online,M,11/6/2019,123430383,11/28/2019,4648,421.89,364.69,1960944.72,1695079.12,265865.60
Europe,Austria,Office Supplies,Online,C,1/25/2013,564813411,3/1/2013,9694,651.21,524.96,6312829.74,5088962.24,1223867.50
Europe,Italy,Cereal,Offline,M,6/30/2012,127688443,7/30/2012,4703,205.70,117.11,967407.10,550768.33,416638.77
Sub-Saharan Africa,Namibia,Clothes,Online,M,1/5/2010,412104308,1/19/2010,9677,109.28,35.84,1057502.56,346823.68,710678.88
Asia,Singapore,Vegetables,Online,M,5/23/2020,838422334,6/2/2020,6655,154.06,90.93,1025269.30,605139.15,420130.15
Asia,Sri Lanka,Cosmetics,Online,M,10/14/2011,897316348,11/11/2011,4703,437.20,263.33,2056151.60,1238440.99,817710.61
Central America and the Caribbean,Jamaica,Baby Food,Online,M,1/5/2018,599772679,2/15/2018,4919,255.28,159.42,1255722.32,784186.98,471535.34
Sub-Saharan Africa,Mauritania,Snacks,Offline,C,8/2/2015,927090156,8/10/2015,5434,152.58,97.44,829119.72,529488.96,299630.76
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Online,H,8/4/2014,680880105,8/11/2014,6409,154.06,90.93,987370.54,582770.37,404600.17
Sub-Saharan Africa,Senegal,Office Supplies,Online,L,8/4/2010,533066356,9/23/2010,5035,651.21,524.96,3278842.35,2643173.60,635668.75
Europe,Switzerland,Personal Care,Offline,L,5/3/2011,775885236,5/15/2011,538,81.73,56.67,43970.74,30488.46,13482.28
Europe,Malta,Personal Care,Offline,H,1/17/2010,871885573,1/27/2010,9171,81.73,56.67,749545.83,519720.57,229825.26
Middle East and North Africa,Qatar,Household,Offline,M,2/18/2012,803928697,3/9/2012,9221,668.27,502.54,6162117.67,4633921.34,1528196.33
Australia and Oceania,Kiribati,Office Supplies,Offline,L,3/4/2019,625188434,3/12/2019,6005,651.21,524.96,3910516.05,3152384.80,758131.25
Europe,Poland,Cosmetics,Offline,C,11/5/2012,909151113,11/9/2012,6872,437.20,263.33,3004438.40,1809603.76,1194834.64
Asia,Malaysia,Cosmetics,Offline,H,10/13/2013,499615561,11/9/2013,6202,437.20,263.33,2711514.40,1633172.66,1078341.74
Australia and Oceania,Solomon Islands,Meat,Offline,H,1/7/2012,560693109,1/12/2012,406,421.89,364.69,171287.34,148064.14,23223.20
Sub-Saharan Africa,The Gambia,Office Supplies,Online,M,2/21/2015,526807582,3/3/2015,2925,651.21,524.96,1904789.25,1535508.00,369281.25
Sub-Saharan Africa,Seychelles ,Snacks,Online,L,11/8/2010,352695310,12/2/2010,9235,152.58,97.44,1409076.30,899858.40,509217.90
Middle East and North Africa,Bahrain,Snacks,Offline,C,2/6/2015,963405120,2/22/2015,1839,152.58,97.44,280594.62,179192.16,101402.46
Europe,Liechtenstein,Cereal,Offline,C,3/29/2013,204298341,4/21/2013,5274,205.70,117.11,1084861.80,617638.14,467223.66
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Online,H,11/18/2018,491048800,12/3/2018,1107,81.73,56.67,90475.11,62733.69,27741.42
Middle East and North Africa,Afghanistan,Beverages,Offline,M,1/17/2015,259642827,2/15/2015,2937,47.45,31.79,139360.65,93367.23,45993.42
Asia,Philippines,Clothes,Online,L,12/28/2012,716379249,2/4/2013,1394,109.28,35.84,152336.32,49960.96,102375.36
Sub-Saharan Africa,Togo,Household,Offline,H,10/20/2014,887869393,11/18/2014,9139,668.27,502.54,6107319.53,4592713.06,1514606.47
Middle East and North Africa,Saudi Arabia,Cosmetics,Online,L,9/12/2018,771037089,10/11/2018,5864,437.20,263.33,2563740.80,1544167.12,1019573.68
Sub-Saharan Africa,Chad,Meat,Offline,M,9/21/2013,883118665,10/17/2013,3293,421.89,364.69,1389283.77,1200924.17,188359.60
Europe,Belarus,Fruits,Online,H,2/26/2017,911662948,4/15/2017,180,9.33,6.92,1679.40,1245.60,433.80
Sub-Saharan Africa,South Africa,Office Supplies,Offline,M,9/12/2015,164531266,10/15/2015,7313,651.21,524.96,4762298.73,3839032.48,923266.25
Sub-Saharan Africa,Chad,Vegetables,Online,H,8/3/2013,719897449,8/14/2013,2508,154.06,90.93,386382.48,228052.44,158330.04
Australia and Oceania,Federated States of Micronesia,Baby Food,Online,L,8/1/2016,676247823,8/26/2016,5613,255.28,159.42,1432886.64,894824.46,538062.18
Middle East and North Africa,Afghanistan,Office Supplies,Offline,L,11/22/2015,902381217,11/25/2015,3510,651.21,524.96,2285747.10,1842609.60,443137.50
Sub-Saharan Africa,Equatorial Guinea,Personal Care,Offline,M,12/3/2014,987408959,1/13/2015,5108,81.73,56.67,417476.84,289470.36,128006.48
North America,Mexico,Vegetables,Offline,M,3/30/2013,590754878,4/18/2013,6351,154.06,90.93,978435.06,577496.43,400938.63
Europe,Armenia,Office Supplies,Offline,H,12/5/2011,792155301,1/6/2012,5212,651.21,524.96,3394106.52,2736091.52,658015.00
Asia,Laos,Personal Care,Online,H,11/21/2018,941659057,12/5/2018,6695,81.73,56.67,547182.35,379405.65,167776.70
Sub-Saharan Africa,Swaziland,Office Supplies,Online,H,6/24/2011,909627473,7/6/2011,7838,651.21,524.96,5104183.98,4114636.48,989547.50
Middle East and North Africa,Afghanistan,Office Supplies,Offline,L,8/29/2016,636734378,9/8/2016,2707,651.21,524.96,1762825.47,1421066.72,341758.75
Asia,Sri Lanka,Cereal,Offline,H,2/20/2020,583966100,2/26/2020,7401,205.70,117.11,1522385.70,866731.11,655654.59
Europe,Poland,Beverages,Offline,L,6/15/2014,382621467,7/23/2014,5050,47.45,31.79,239622.50,160539.50,79083.00
Sub-Saharan Africa,Ethiopia,Baby Food,Online,L,1/20/2015,184311807,1/23/2015,814,255.28,159.42,207797.92,129767.88,78030.04
Australia and Oceania,East Timor,Snacks,Offline,H,2/22/2012,210960948,4/4/2012,6887,152.58,97.44,1050818.46,671069.28,379749.18
Sub-Saharan Africa,Rwanda,Fruits,Offline,M,10/29/2018,304805219,11/2/2018,7493,9.33,6.92,69909.69,51851.56,18058.13
Sub-Saharan Africa,Cote d'Ivoire,Household,Offline,H,4/11/2012,378393447,5/11/2012,3885,668.27,502.54,2596228.95,1952367.90,643861.05
Sub-Saharan Africa,Chad,Clothes,Online,M,12/14/2013,864586961,1/6/2014,9350,109.28,35.84,1021768.00,335104.00,686664.00
Europe,Austria,Household,Offline,M,1/29/2020,466559588,2/21/2020,4205,668.27,502.54,2810075.35,2113180.70,696894.65
Sub-Saharan Africa,Sudan,Cereal,Offline,H,9/8/2017,207797658,10/13/2017,800,205.70,117.11,164560.00,93688.00,70872.00
Europe,Armenia,Beverages,Offline,L,5/11/2011,282099997,5/12/2011,8513,47.45,31.79,403941.85,270628.27,133313.58
Middle East and North Africa,Iraq,Clothes,Offline,L,11/13/2017,503577935,12/11/2017,8756,109.28,35.84,956855.68,313815.04,643040.64
Central America and the Caribbean,Saint Kitts and Nevis ,Fruits,Online,C,1/27/2018,756655299,2/6/2018,9972,9.33,6.92,93038.76,69006.24,24032.52
Central America and the Caribbean,Saint Kitts and Nevis ,Snacks,Online,M,9/18/2015,546068418,9/23/2015,2634,152.58,97.44,401895.72,256656.96,145238.76
North America,Canada,Cereal,Online,M,9/9/2010,346866118,9/16/2010,4247,205.70,117.11,873607.90,497366.17,376241.73
Central America and the Caribbean,Belize,Fruits,Online,H,2/7/2015,254409730,3/7/2015,4347,9.33,6.92,40557.51,30081.24,10476.27
Europe,Italy,Clothes,Online,M,10/27/2015,434373080,11/8/2015,9502,109.28,35.84,1038378.56,340551.68,697826.88
Europe,Ukraine,Household,Online,H,11/27/2011,672742497,12/20/2011,8310,668.27,502.54,5553323.70,4176107.40,1377216.30
Sub-Saharan Africa,South Sudan,Fruits,Online,C,12/20/2019,825816810,12/27/2019,6400,9.33,6.92,59712.00,44288.00,15424.00
Europe,Armenia,Meat,Online,L,5/7/2015,370207345,6/5/2015,1435,421.89,364.69,605412.15,523330.15,82082.00
Australia and Oceania,Kiribati,Office Supplies,Offline,H,4/25/2012,652837932,6/2/2012,8106,651.21,524.96,5278708.26,4255325.76,1023382.50
Australia and Oceania,Australia,Snacks,Offline,M,12/14/2015,840944898,1/30/2016,3138,152.58,97.44,478796.04,305766.72,173029.32
Sub-Saharan Africa,Djibouti,Clothes,Online,C,10/19/2016,172077071,10/28/2016,284,109.28,35.84,31035.52,10178.56,20856.96
Sub-Saharan Africa,Djibouti,Household,Online,H,8/7/2017,204095780,9/16/2017,5332,668.27,502.54,3563215.64,2679543.28,883672.36
Sub-Saharan Africa,Cameroon,Meat,Offline,C,4/2/2017,765174853,5/14/2017,1098,421.89,364.69,463235.22,400429.62,62805.60
Middle East and North Africa,United Arab Emirates,Personal Care,Offline,C,2/27/2016,403800618,4/1/2016,2431,81.73,56.67,198685.63,137764.77,60920.86
Europe,Slovenia,Household,Offline,C,11/16/2010,438771903,12/5/2010,1211,668.27,502.54,809274.97,608575.94,200699.03
Europe,Croatia,Baby Food,Online,M,3/1/2010,909200036,3/18/2010,1350,255.28,159.42,344628.00,215217.00,129411.00
Asia,Kyrgyzstan,Cereal,Online,C,12/7/2018,124508845,1/11/2019,3789,205.70,117.11,779397.30,443729.79,335667.51
Australia and Oceania,Marshall Islands,Cereal,Offline,H,7/10/2011,514434659,8/21/2011,1502,205.70,117.11,308961.40,175899.22,133062.18
Central America and the Caribbean,Belize,Fruits,Offline,C,11/22/2011,979026305,1/8/2012,4495,9.33,6.92,41938.35,31105.40,10832.95
Europe,Montenegro,Clothes,Online,H,6/4/2013,938645112,6/24/2013,4802,109.28,35.84,524762.56,172103.68,352658.88
Europe,Netherlands,Meat,Online,C,5/10/2016,783964908,6/3/2016,1492,421.89,364.69,629459.88,544117.48,85342.40
Europe,Greece,Personal Care,Offline,H,9/25/2011,525972020,10/24/2011,5664,81.73,56.67,462918.72,320978.88,141939.84
Europe,Hungary,Snacks,Online,M,11/3/2018,245965278,12/22/2018,5446,152.58,97.44,830950.68,530658.24,300292.44
Europe,Ukraine,Baby Food,Online,C,9/7/2015,545556008,9/13/2015,1001,255.28,159.42,255535.28,159579.42,95955.86
Middle East and North Africa,United Arab Emirates,Baby Food,Offline,M,3/19/2019,296668040,4/4/2019,9521,255.28,159.42,2430520.88,1517837.82,912683.06
Australia and Oceania,Marshall Islands,Fruits,Offline,L,10/16/2015,691537702,10/19/2015,228,9.33,6.92,2127.24,1577.76,549.48
Europe,Belgium,Meat,Offline,H,1/10/2020,292713820,2/12/2020,9379,421.89,364.69,3956906.31,3420427.51,536478.80
Australia and Oceania,Federated States of Micronesia,Cosmetics,Online,L,12/10/2015,883057725,1/12/2016,5259,437.20,263.33,2299234.80,1384852.47,914382.33
Sub-Saharan Africa,Zambia,Household,Online,H,10/21/2015,715743243,11/9/2015,3186,668.27,502.54,2129108.22,1601092.44,528015.78
Asia,Mongolia,Vegetables,Online,C,12/31/2011,364256703,1/22/2012,508,154.06,90.93,78262.48,46192.44,32070.04
Sub-Saharan Africa,Ghana,Personal Care,Offline,H,6/12/2014,472396934,6/19/2014,1605,81.73,56.67,131176.65,90955.35,40221.30
Asia,Vietnam,Vegetables,Online,L,3/12/2013,404275262,3/20/2013,2889,154.06,90.93,445079.34,262696.77,182382.57
Sub-Saharan Africa,Liberia,Snacks,Online,H,10/29/2015,494315516,12/11/2015,7801,152.58,97.44,1190276.58,760129.44,430147.14
Middle East and North Africa,Iraq,Cosmetics,Online,L,1/17/2010,697254025,3/1/2010,1816,437.20,263.33,793955.20,478207.28,315747.92
Middle East and North Africa,Egypt,Cosmetics,Offline,M,10/18/2011,138139617,11/18/2011,7437,437.20,263.33,3251456.40,1958385.21,1293071.19
Europe,Sweden,Clothes,Offline,C,2/17/2017,262333619,3/29/2017,9202,109.28,35.84,1005594.56,329799.68,675794.88
Europe,Cyprus,Clothes,Offline,L,4/9/2018,785509860,5/22/2018,8678,109.28,35.84,948331.84,311019.52,637312.32
Central America and the Caribbean,Trinidad and Tobago,Clothes,Offline,H,8/17/2019,143654668,9/10/2019,9463,109.28,35.84,1034116.64,339153.92,694962.72
Australia and Oceania,East Timor,Personal Care,Offline,H,1/25/2011,443066871,2/3/2011,2188,81.73,56.67,178825.24,123993.96,54831.28
Europe,Montenegro,Household,Offline,M,1/23/2016,710357797,2/28/2016,9513,668.27,502.54,6357252.51,4780663.02,1576589.49
Sub-Saharan Africa,Uganda,Meat,Online,H,6/13/2011,942451274,7/10/2011,1130,421.89,364.69,476735.70,412099.70,64636.00
Sub-Saharan Africa,Uganda,Meat,Offline,L,5/7/2018,756583631,5/31/2018,8764,421.89,364.69,3697443.96,3196143.16,501300.80
Europe,Monaco,Baby Food,Offline,H,4/6/2011,740303695,4/8/2011,1169,255.28,159.42,298422.32,186361.98,112060.34
Europe,Germany,Fruits,Offline,C,9/3/2019,201472795,9/6/2019,9132,9.33,6.92,85201.56,63193.44,22008.12
Australia and Oceania,Marshall Islands,Office Supplies,Online,M,9/26/2015,318264758,9/30/2015,469,651.21,524.96,305417.49,246206.24,59211.25
Europe,Finland,Meat,Offline,L,11/25/2015,989165914,1/14/2016,5030,421.89,364.69,2122106.70,1834390.70,287716.00
Asia,Singapore,Household,Online,L,5/18/2011,382975089,6/4/2011,9694,668.27,502.54,6478209.38,4871622.76,1606586.62
Sub-Saharan Africa,Angola,Household,Online,H,4/7/2016,788803613,4/7/2016,3373,668.27,502.54,2254074.71,1695067.42,559007.29
Sub-Saharan Africa,Rwanda,Personal Care,Online,C,6/11/2019,966075313,7/14/2019,2008,81.73,56.67,164113.84,113793.36,50320.48
Europe,Greece,Baby Food,Offline,L,4/15/2011,194526517,4/23/2011,3574,255.28,159.42,912370.72,569767.08,342603.64
Europe,Estonia,Clothes,Offline,L,5/28/2010,524206054,6/7/2010,3075,109.28,35.84,336036.00,110208.00,225828.00
Sub-Saharan Africa,The Gambia,Vegetables,Online,M,7/15/2015,925475251,8/20/2015,7548,154.06,90.93,1162844.88,686339.64,476505.24
